symbol,date,open,high,low,close,volume,adjusted,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-03-18T00:00:00Z,239.77,250,237.12,246.67,75058406,61.2857597086,62.1131062843,58.9130390485,59.5714379751,300233624,0,1
AAPL,2020-03-19T00:00:00Z,247.39,252.84,242.61,244.78,67964255,60.8161846251,62.8187111717,60.2770428625,61.4646454547,271857020,0,1
AAPL,2020-03-20T00:00:00Z,247.18,251.83,228,229.24,100423346,56.9552339384,62.5677742223,56.6471529313,61.4124704454,401693384,0,1
AAPL,2020-03-23T00:00:00Z,228.08,228.5,212.61,224.37,84188208,55.745270628,56.7713791438,52.8234701084,56.6670291253,336752832,0,1
AAPL,2020-03-24T00:00:00Z,236.36,247.69,234.3,246.88,71882773,61.3379347179,61.5391811822,58.2124032096,58.7242152054,287531092,0,1
AAPL,2020-03-25T00:00:00Z,250.75,258.25,244.3,245.52,75900510,61.0000394197,64.1628387917,60.696927461,62.2994456031,303602040,0,1
AAPL,2020-03-26T00:00:00Z,246.52,258.68,246.36,258.44,63140169,64.2100447524,64.2696733345,61.2087394568,61.2484918448,252560676,0,1
AAPL,2020-03-27T00:00:00Z,252.75,255.87,247.05,247.74,51054153,61.5516038035,63.5715220198,61.3801716301,62.7963504534,204216612,0,1
AAPL,2020-03-30T00:00:00Z,250.74,255.52,249.4,254.81,41994110,63.3081624492,63.484563671,61.9640348292,62.2969610789,167976440,0,1
AAPL,2020-03-31T00:00:00Z,255.6,262.49,252,254.29,49250501,63.1789671881,65.2162770742,62.6100111346,63.504439865,197002004,0,1
AAPL,2020-04-01T00:00:00Z,246.5,248.72,239.13,240.91,44054638,59.8546737398,61.7950871801,59.412428423,61.2435227963,176218552,0,1
AAPL,2020-04-02T00:00:00Z,240.34,245.15,236.9,244.93,41483493,60.8534524888,60.9081120224,58.858379515,59.7130558575,165933972,0,1
AAPL,2020-04-03T00:00:00Z,242.8,245.7,238.97,241.41,32470017,59.9788999524,61.0447608562,59.372676035,60.3242488233,129880068,0,1
AAPL,2020-04-06T00:00:00Z,250.9,263.11,249.38,262.47,50455071,65.2113080257,65.3703175778,61.9590657807,62.3367134669,201820284,0,1
AAPL,2020-04-07T00:00:00Z,270.8,271.7,259,259.43,50721831,64.4560126533,67.5045239098,64.3491781105,67.2809167271,202887324,0,1
AAPL,2020-04-08T00:00:00Z,262.74,267.37,261.23,266.07,42223821,66.1057367562,66.4287249089,64.9032270186,65.2783901805,168895284,0,1
AAPL,2020-04-09T00:00:00Z,268.7,270.07,264.7,267.99,40529123,66.5827654125,67.0995464568,65.7653569338,66.7591666343,162116492,0,1
AAPL,2020-04-13T00:00:00Z,268.31,273.7,265.83,273.25,32755731,67.8896251687,68.00142876,66.0461081742,66.6622701885,131022924,0,1
AAPL,2020-04-14T00:00:00Z,280,288.25,278.05,287.05,48748672,71.3182686356,71.6164115458,69.0821968094,69.5666790384,194994688,0,1
AAPL,2020-04-15T00:00:00Z,282.4,286.33,280.63,284.43,32788641,70.6673232818,71.1393828895,69.7232040662,70.1629648587,131154564,0,1
AAPL,2020-04-16T00:00:00Z,287.38,288.2,282.35,286.69,39281290,71.2288257626,71.6039889245,70.1505422375,71.4002579359,157125160,0,1
AAPL,2020-04-17T00:00:00Z,284.69,286.95,276.86,282.8,53812478,70.2623458288,71.2934233931,68.7865384235,70.7319209123,215249912,0,1
AAPL,2020-04-20T00:00:00Z,277.95,281.68,276.85,276.93,32503750,68.8039300932,69.9840791126,68.7840538992,69.0573515669,130015000,0,1
AAPL,2020-04-21T00:00:00Z,276.28,277.25,265.43,268.37,45247893,66.677177334,68.8834348693,65.9467272041,68.6424360169,180991572,0,1
AAPL,2020-04-22T00:00:00Z,273.61,277.9,272.2,276.1,29264342,68.5977145804,69.0449289456,67.6287501223,67.9790680418,117057368,0,1
AAPL,2020-04-23T00:00:00Z,275.87,281.75,274.87,275.03,31203582,68.3318704855,70.0014707824,68.2921180974,68.5405705226,124814328,0,1
AAPL,2020-04-24T00:00:00Z,277.2,283.01,277,282.97,31627183,70.3045827411,70.3145208381,68.821321763,68.871012248,126508732,0,1
AAPL,2020-04-27T00:00:00Z,281.8,284.54,279.95,283.17,29271893,70.3542732261,70.6946530485,69.5542564171,70.0138934036,117087572,0,1
AAPL,2020-04-28T00:00:00Z,285.08,285.83,278.2,278.58,28001187,69.2138765947,71.0151566769,69.1194646731,70.8288173581,112004748,0,1
AAPL,2020-04-29T00:00:00Z,284.73,289.67,283.89,287.73,34320204,71.4872162847,71.9692139895,70.5331589722,70.7418590093,137280816,0,1
AAPL,2020-04-30T00:00:00Z,289.96,294.53,288.35,293.8,45765968,72.9953225053,73.1766927756,71.6412567883,72.0412651928,183063872,0,1
AAPL,2020-05-01T00:00:00Z,286.25,299,285.85,289.07,60154175,71.8201425344,74.287275116,71.0201257254,71.1195066955,240616700,0,1
AAPL,2020-05-04T00:00:00Z,289.17,293.69,286.32,293.16,33391986,72.8363129532,72.9679927385,71.1368983653,71.8449877769,133567944,0,1
AAPL,2020-05-05T00:00:00Z,295.06,301,294.46,297.56,36937795,73.9295036238,74.7841799663,73.1593011059,73.308372561,147751180,0,1
AAPL,2020-05-06T00:00:00Z,300.46,303.24,298.87,300.63,35583438,74.692252569,75.3407133986,74.2549763007,74.6500156567,142333752,0,1
AAPL,2020-05-07T00:00:00Z,303.22,305.17,301.97,303.74,28803764,75.4649396111,75.8202265791,75.0251788187,75.3357443501,115215056,0,1
AAPL,2020-05-08T00:00:00Z,305.64,310.35,304.29,310.13,33511985,77.2562815964,77.3110856526,75.8014830135,76.1377806311,134047940,0.82,1
AAPL,2020-05-11T00:00:00Z,308.1,317.05,307.24,315.01,36486561,78.4719352068,78.9801182734,76.5363555853,76.7505896232,145946244,0,1
AAPL,2020-05-12T00:00:00Z,317.83,319.69,310.91,311.41,40575263,77.5751415598,79.6377669479,77.4505868866,79.1744235636,162301052,0,1
AAPL,2020-05-13T00:00:00Z,312.15,315.95,303.21,307.65,50155639,76.6384904173,78.7060979924,75.5324449194,77.7594824761,200622556,0,1
AAPL,2020-05-14T00:00:00Z,304.51,309.79,301.53,309.54,39732269,77.109307082,77.1715844186,75.1139412174,75.8562870697,158929076,0,1
AAPL,2020-05-15T00:00:00Z,300.35,307.9,300.21,307.71,41587094,76.6534369781,76.7007677539,74.7851168802,74.8199921887,166348376,0,1
AAPL,2020-05-18T00:00:00Z,313.17,316.5,310.32,314.96,33843125,78.4594797395,78.8431081329,77.3036123722,78.0135740094,135372500,0,1
AAPL,2020-05-19T00:00:00Z,315.03,318.52,313.01,313.14,25432385,78.006100729,79.3463090126,77.973716514,78.4769173937,101729540,0,1
AAPL,2020-05-20T00:00:00Z,316.68,319.52,316.52,319.23,27876215,79.5231766486,79.595418359,78.8480903198,78.8879478153,111504860,0,1
AAPL,2020-05-21T00:00:00Z,318.66,320.89,315.87,316.85,25672211,78.9302964041,79.9366981636,78.6861692447,79.3811843211,102688844,0,1
AAPL,2020-05-22T00:00:00Z,315.77,319.23,315.35,318.89,20450754,79.4384794708,79.5231766486,78.5566323846,78.66125831,81803016,0,1
AAPL,2020-05-26T00:00:00Z,323.5,324.24,316.5,316.73,31380454,78.9004032826,80.771214474,78.8431081329,80.5868735576,125521816,0,1
AAPL,2020-05-27T00:00:00Z,316.14,318.71,313.09,318.11,28236274,79.2441741806,79.3936397884,77.9936452617,78.7534287682,112945096,0,1
AAPL,2020-05-28T00:00:00Z,316.77,323.44,315.63,318.25,33449103,79.2790494891,80.5719269969,78.6263830015,78.9103676564,133796412,0,1
AAPL,2020-05-29T00:00:00Z,319.25,321.15,316.47,317.94,38399532,79.2018255917,80.0014665936,78.8356348525,79.5281588355,153598128,0,1
AAPL,2020-06-01T00:00:00Z,317.75,322.35,317.21,321.85,20254653,80.1758431361,80.3003978093,79.0199757688,79.1544948159,81018612,0,1
AAPL,2020-06-02T00:00:00Z,320.75,323.44,318.93,323.34,21910704,80.5470160622,80.5719269969,79.4484438446,79.9018228551,87642816,0,1
AAPL,2020-06-03T00:00:00Z,324.66,326.2,322.3,325.12,26122804,80.9904306988,81.2594687929,80.287942342,80.8758403995,104491216,0,1
AAPL,2020-06-04T00:00:00Z,324.39,325.62,320.78,322.32,21890091,80.2929245289,81.114985372,79.9092961355,80.8085808759,87560364,0,1
AAPL,2020-06-05T00:00:00Z,323.35,331.75,323.23,331.5,34312550,82.5797483288,82.6420256654,80.5196140341,80.5495071557,137250200,0,1
AAPL,2020-06-08T00:00:00Z,330.25,333.6,327.32,333.46,23913634,83.0680026477,83.1028779562,81.5384712609,82.2683616458,95654536,0,1
AAPL,2020-06-09T00:00:00Z,332.14,345.61,332.01,343.99,36928091,85.6911240652,86.0946812064,82.7067940954,82.7391783105,147712364,0,1
AAPL,2020-06-10T00:00:00Z,347.9,354.77,346.09,352.84,41662938,87.8957417808,88.3765228193,86.2142536926,86.6651416096,166651752,0,1
AAPL,2020-06-11T00:00:00Z,349.31,351.06,335.48,335.9,50415613,83.6758294529,87.4523271442,83.5712035274,87.016385788,201662452,0,1
AAPL,2020-06-12T00:00:00Z,344.72,347.8,334.22,338.8,50036513,84.3982465574,86.640230675,83.257325751,85.8729738881,200146052,0,1
AAPL,2020-06-15T00:00:00Z,333.25,345.68,332.58,342.99,34702230,85.4420147188,86.1121188606,82.8487864229,83.015689685,138808920,0,1
AAPL,2020-06-16T00:00:00Z,351.46,353.2,344.72,352.08,41357182,87.7064186775,87.9854211455,85.8729738881,87.5519708827,165428728,0,1
AAPL,2020-06-17T00:00:00Z,355.15,355.4,351.09,351.59,28601626,87.5843550978,88.5334617075,87.4598004246,88.4711843709,114406504,0,1
AAPL,2020-06-18T00:00:00Z,351.41,353.45,349.22,351.73,24205096,87.6192304063,88.0476984821,86.9939659468,87.5395154154,96820384,0,1
AAPL,2020-06-19T00:00:00Z,354.64,356.56,345.15,349.72,66118952,87.11852062,88.8224285493,85.980090907,88.3441386043,264475808,0,1
AAPL,2020-06-22T00:00:00Z,351.34,359.46,351.15,358.87,33861316,89.3978711395,89.5448456539,87.4747469854,87.5220777612,135445264,0,1
AAPL,2020-06-23T00:00:00Z,364,372.38,362.27,366.53,53038869,91.3060487329,92.7633384093,90.2448429172,90.6758020865,212155476,0,1
AAPL,2020-06-24T00:00:00Z,365,368.79,358.52,360.06,48155849,89.6943112617,91.8690358557,89.3106828683,90.9249114329,192623396,0,1
AAPL,2020-06-25T00:00:00Z,360.7,365,357.57,364.84,34380628,90.8850539375,90.9249114329,89.0740289892,89.8537412434,137522512,0,1
AAPL,2020-06-26T00:00:00Z,364.41,365.32,353.02,353.63,51314211,88.0925381644,91.0046264237,87.9405814631,90.7779369185,205256844,0,1
AAPL,2020-06-29T00:00:00Z,353.25,362.1736,351.28,361.78,32661519,90.1227793375,90.2208287762,87.5071312004,87.9978766128,130646076,0,1
AAPL,2020-06-30T00:00:00Z,360.08,365.98,360,364.8,35055821,90.8750895636,91.1690385924,89.6793647009,89.6992934486,140223284,0,1
AAPL,2020-07-01T00:00:00Z,365.12,367.36,363.91,364.11,27690454,90.7032041146,91.5128094904,90.6533822453,90.9548045545,110761816,0,1
AAPL,2020-07-02T00:00:00Z,367.85,370.47,363.64,364.11,28814516,90.7032041146,92.2875395576,90.5861227218,91.6348730701,115258064,0,1
AAPL,2020-07-06T00:00:00Z,370,375.78,369.87,373.85,29745936,93.1295291485,93.610310187,92.1380739498,92.1704581648,118983744,0,1
AAPL,2020-07-07T00:00:00Z,375.41,378.62,372.23,372.69,28206999,92.8405623066,94.3177807307,92.7259720073,93.5181397288,112827996,0,1
AAPL,2020-07-08T00:00:00Z,376.72,381.5,376.36,381.37,29274479,95.0028314333,95.0352156483,93.7547936079,93.8444729726,117097916,0,1
AAPL,2020-07-09T00:00:00Z,385.05,385.27,378.69,383.01,31420357,95.4113707614,95.9743578842,94.335218385,95.919553828,125681428,0,1
AAPL,2020-07-10T00:00:00Z,381.34,383.92,378.82,383.68,22564330,95.5782740235,95.6380602666,94.3676026,94.9953581529,90257320,0,1
AAPL,2020-07-13T00:00:00Z,389.06,399.82,381.03,381.91,47913079,95.1373504804,99.5988988742,94.9181342555,96.9184823071,191652316,0,1
AAPL,2020-07-14T00:00:00Z,379.36,389.02,375.51,388.23,42748119,96.7117215496,96.9085179332,93.5430506635,94.5021216471,170992476,0,1
AAPL,2020-07-15T00:00:00Z,395.96,396.99,385.96,390.9,38306874,97.3768435044,98.893919424,96.1462433333,98.6373367972,153227496,0,1
AAPL,2020-07-16T00:00:00Z,386.25,389.62,383.62,386.09,27645927,96.1786275483,97.057983541,95.5633274627,96.2184850437,110583708,0,1
AAPL,2020-07-17T00:00:00Z,387.95,388.59,383.36,385.31,23046755,95.9843222581,96.8014009143,95.4985590326,96.6419709326,92187020,0,1
AAPL,2020-07-20T00:00:00Z,385.67,394,384.25,393.43,22397208,98.0070901508,98.1490824782,95.7202663509,96.0740016228,89588832,0,1
AAPL,2020-07-21T00:00:00Z,396.69,397,386.97,388,25627347,96.6544263999,98.8964105174,96.3978437731,98.81918662,102509388,0,1
AAPL,2020-07-22T00:00:00Z,386.77,391.9,386.41,389.09,22250413,96.9259555875,97.6259528508,96.2583425391,96.3480219038,89001652,0,1
AAPL,2020-07-23T00:00:00Z,387.9935,388.31,368.039,371.38,49251108,92.5142290629,96.7316502973,91.6819547366,96.6528071891,197004432,0,1
AAPL,2020-07-24T00:00:00Z,363.95,371.88,356.58,370.46,46359716,92.2850484642,92.6387837361,88.8274107363,90.6633466192,185438864,0,1
AAPL,2020-07-27T00:00:00Z,374.84,379.62,373.92,379.24,30303548,94.4722285255,94.5668900771,93.1469668027,93.3761474014,121214192,0,1
AAPL,2020-07-28T00:00:00Z,377.47,378.1986,372.99,373.01,25906375,92.9202772975,94.2128060522,92.9152951106,94.0313049824,103625500,0,1
AAPL,2020-07-29T00:00:00Z,375,380.92,374.85,380.16,22582314,94.7014091242,94.8907322274,93.3786384948,93.4160048968,90329256,0,1
AAPL,2020-07-30T00:00:00Z,376.75,385.19,375.07,384.76,39532505,95.8473121176,95.9544291365,93.4334425511,93.851946253,158130020,0,1
AAPL,2020-07-31T00:00:00Z,411.535,425.66,403.3,425.04,93573867,105.8814365902,106.035884385,100.4657993997,102.5172148672,374295468,0,1
AAPL,2020-08-03T00:00:00Z,432.8,446.5457,431.57,435.75,77037847,108.5493976901,111.2387074609,107.5081206222,107.8145251182,308151388,0,1
AAPL,2020-08-04T00:00:00Z,436.53,443.16,433.55,438.66,43198092,109.2743058881,110.3952979468,108.001357128,108.7437029803,172792368,0,1
AAPL,2020-08-05T00:00:00Z,437.51,441.57,435.59,440.25,30497988,109.6703897488,109.9992140861,108.5095401947,108.9878301397,121991952,0,1
AAPL,2020-08-06T00:00:00Z,441.62,457.65,439.19,455.61,50607225,113.4967093094,114.0048923761,109.4063338417,110.0116695534,202428900,0,1
AAPL,2020-08-07T00:00:00Z,452.82,454.7,441.17,444.45,49511403,110.9209186677,113.4790003785,110.1023325203,113.0098107574,198045612,0.82,1
AAPL,2020-08-10T00:00:00Z,450.4,455.1,440,450.91,53100856,112.5331340679,113.5788279574,109.8103368518,112.4058539047,212403424,0,1
AAPL,2020-08-11T00:00:00Z,447.875,449.93,436.4267,437.5,46975594,109.1864144834,112.2885564994,108.9185521321,111.7756923125,187902376,0,1
AAPL,2020-08-12T00:00:00Z,441.99,453.1,441.19,452.04,41486205,112.8151469784,113.0796900627,110.1073238992,110.3069790572,165944820,0,1
AAPL,2020-08-13T00:00:00Z,457.72,464.17,455.71,460.04,52520516,114.8116985576,115.8424183103,113.7310650153,114.2326985996,210082064,0,1
AAPL,2020-08-14T00:00:00Z,459.315,460,452.18,459.63,41391302,114.7093752891,114.8017157997,112.8500866311,114.6307610707,165565208,0,1
AAPL,2020-08-17T00:00:00Z,464.25,464.35,455.8501,458.43,29431414,114.4098925523,115.8873407208,113.7660296249,115.8623838261,117725656,0,1
AAPL,2020-08-18T00:00:00Z,457.41,464,456.03,462.25,26408385,115.3632459313,115.7999915892,113.8109270785,114.1553322259,105633540,0,1
AAPL,2020-08-19T00:00:00Z,463.933,468.65,462.44,462.83,36384502,115.5079959208,116.9604871946,115.4106640313,115.7832704697,145538008,0,1
